	Gene1	Gene2	Annotation	Direction	Score
146	ACTR3C	WASF2	PPrel: activated by	<-	1
147	ACTR5	DDB2	activate	->	1
148	ACTR8	DDB2	activate	->	1
149	ACVR1	NCF2	PPrel: activation, indirect effect	->	1
150	ACVR2A	NCF2	PPrel: activation, indirect effect	->	1
151	ACVR2B	NCF2	PPrel: activation, indirect effect	->	1
152	ADAM17	PKN1	catalyzed by	<-	1
153	ADAM9	CEBPB	expression regulated by	<-	1
154	ADCK2	PDK2	predicted	-	0.64
155	ADCY1	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
156	ADCY1	GNAS	PCrel: activated by; PPrel: activated by; PPrel: activated, indirect effect; activated by; complex; inhibite; input	<-|	1
157	ADCY10	GNAI2	PPrel: inhibited by	|-	1
158	ADCY10	GNAS	PPrel: activated by	<-	1
159	ADCY2	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
160	ADCY2	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1
161	ADCY3	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
162	ADCY3	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
163	ADCY4	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
164	ADCY4	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1
165	ADCY5	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
166	ADCY5	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input; predicted	<-|	1
167	ADCY5	RIC8A	predicted	-	0.54
168	ADCY6	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
169	ADCY6	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
170	ADCY7	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
171	ADCY7	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
172	ADCY8	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
173	ADCY8	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
174	ADCY9	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
175	ADCY9	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
176	ADCYAP1	GNAS	complex	-	1
177	ADCYAP1R1	GNAQ	PPrel: activation	->	1
178	ADCYAP1R1	GNAS	PPrel: activation; complex	->	1
179	ADGRF1	GNAS	predicted	-	0.54
180	ADIPOQ	CEBPB	predicted	-	0.54
181	ADIPOR1	GNAI2	predicted	-	0.64
182	ADIRF	CEBPB	reaction	-	1
183	ADIRF	USF2	expression regulated by	<-	1
184	ADM	CEBPB	expression regulated by	<-	1
185	ADM	GNAS	complex	-	1
186	ADM2	GNAS	complex	-	1
187	ADORA1	GNAI2	PPrel: activation; complex; input	->	1
188	ADORA2A	GNAI2	complex; input	-	1
189	ADORA2A	GNAQ	PPrel: activation	->	1
190	ADORA2A	GNAS	PPrel: activation; complex	->	1
191	ADORA2B	GNAI2	complex; input	-	1
192	ADORA2B	GNAQ	PPrel: activation	->	1
193	ADORA2B	GNAS	PPrel: activation; complex	->	1
194	ADORA3	GNAI2	PPrel: activation; complex; input	->	1
195	ADRA1A	GNAI2	complex; input	-	1
196	ADRA1A	GNAQ	PPrel: activation; complex; input	->	1
197	ADRA1B	GNAI2	complex; input	-	1
198	ADRA1B	GNAQ	PPrel: activation; complex; input	->	1
199	ADRA1B	GNAS	complex	-	1
200	ADRA1D	GNAI2	complex; input	-	1
201	ADRA1D	GNAQ	PPrel: activation; complex; input	->	1
202	ADRA2A	GNAI2	complex; input	-	1
203	ADRA2A	GNAQ	PPrel: activation	->	1
204	ADRA2B	GNAI2	complex; input	-	1
205	ADRA2B	GNAQ	PPrel: activation	->	1
206	ADRA2C	GNAI2	complex; input	-	1
207	ADRA2C	GNAQ	PPrel: activation	->	1
208	ADRB1	GNAI2	PPrel: activation	->	1
209	ADRB1	GNAS	PPrel: activation; complex	->	1
210	ADRB2	ARPC2	complex; input	-	1
211	ADRB2	GNAI2	PPrel: activation	->	1
212	ADRB2	GNAS	PPrel: activation; complex; predicted; reaction	->	1
213	ADRB3	GNAI2	PPrel: activation	->	1
214	ADRB3	GNAS	PPrel: activation; complex; predicted	->	1
215	AFDN	HCK	activated by	<-	1
216	AFF4	RTF1	complex; input	-	1
217	AFG1L	YME1L1	predicted	-	0.64
218	AFP	CEBPB	expression regulated by	<-	1
219	AGER	CYBB	PPrel: activation	->	1
220	AGER	ITGAM	complex; input	-	1
221	AGER	S100A12	complex; input	-	1
222	AGER	S100A9	predicted	-	0.64
223	AGFG1	ARPC2	complex; input	-	1
224	AGO1	AGO2	reaction	-	1
225	AGO2	AGO3	reaction	-	1
226	AGO2	AGO4	reaction	-	1
227	AGO2	CNOT1	predicted	-	0.64
228	AGO2	CNOT2	predicted	-	0.64
229	AGO2	CNOT6L	predicted	-	0.64
230	AGO2	CNOT7	predicted	-	0.64
231	AGO2	CTCF	expression regulated by	<-	1
232	AGO2	DDX17	predicted	-	0.56
233	AGO2	DHX36	predicted	-	0.64
234	AGO2	DHX9	predicted	-	0.64
235	AGO2	DICER1	complex	-	1
236	AGO2	EGFR	predicted	-	0.64
237	AGO2	EIF4EBP1	predicted	-	0.64
238	AGO2	EIF4G1	predicted	-	0.64
239	AGO2	FOXA1	expression regulated by	<-	1
240	AGO2	GIGYF2	predicted	-	0.64
241	AGO2	H3-3A	complex; input	-	1
242	AGO2	H3C1	complex; input	-	1
243	AGO2	H4C1	complex; input	-	1
244	AGO2	HDAC1	predicted	-	0.64
245	AGO2	HIST2H3A	complex; input	-	1
246	AGO2	IPO8	complex; input	-	1
247	AGO2	MOV10	complex; input; reaction	-	1
248	AGO2	MTA2	predicted	-	0.64
249	AGO2	MTDH	predicted	-	0.64
250	AGO2	NDC1	catalyzed by	<-	1
251	AGO2	NUP107	catalyzed by	<-	1
252	AGO2	NUP133	catalyzed by	<-	1
253	AGO2	NUP153	catalyzed by	<-	1
254	AGO2	NUP155	catalyzed by	<-	1
255	AGO2	NUP160	catalyzed by	<-	1
256	AGO2	NUP188	catalyzed by	<-	1
257	AGO2	NUP205	catalyzed by	<-	1
258	AGO2	NUP210	catalyzed by	<-	1
259	AGO2	NUP214	catalyzed by	<-	1
260	AGO2	NUP35	catalyzed by	<-	1
261	AGO2	NUP37	catalyzed by	<-	1
262	AGO2	NUP42	catalyzed by	<-	1
263	AGO2	NUP43	catalyzed by	<-	1
264	AGO2	NUP50	catalyzed by	<-	1
265	AGO2	NUP54	catalyzed by	<-	1
266	AGO2	NUP58	catalyzed by	<-	1
267	AGO2	NUP62	catalyzed by	<-	1
268	AGO2	NUP85	catalyzed by	<-	1
269	AGO2	NUP88	catalyzed by	<-	1
270	AGO2	NUP93	catalyzed by	<-	1
271	AGO2	NUP98	catalyzed by	<-	1
272	AGO2	PABPC1	predicted	-	0.64
273	AGO2	POLR2A	complex; input	-	1
274	AGO2	POLR2B	complex; input	-	1
275	AGO2	POLR2C	complex; input	-	1
276	AGO2	POLR2D	complex; input	-	1
277	AGO2	POLR2E	complex; input	-	1
278	AGO2	POLR2F	complex; input	-	1
279	AGO2	POLR2G	complex; input	-	1
280	AGO2	POLR2H	complex; input	-	1
281	AGO2	POLR2I	complex; input	-	1
282	AGO2	POLR2J	complex; input	-	1
283	AGO2	POLR2K	complex; input	-	1
284	AGO2	POLR2L	complex; input	-	1
285	AGO2	POM121	catalyzed by	<-	1
286	AGO2	POM121C	catalyzed by	<-	1
287	AGO2	PRKRA	complex	-	1
288	AGO2	RAE1	catalyzed by	<-	1
289	AGO2	RAN	input	-	1
290	AGO2	RANBP2	catalyzed by	<-	1
291	AGO2	RB1	predicted	-	0.64
292	AGO2	RBM4	predicted	-	0.64
293	AGO2	RC3H1	predicted	-	0.77
294	AGO2	RPL10A	predicted	-	0.56
295	AGO2	SEC13	catalyzed by	<-	1
296	AGO2	SEH1L	catalyzed by	<-	1
297	AGO2	TARBP2	complex	-	1
298	AGO2	TBK1	predicted	-	0.64
299	AGO2	TCF4	expression regulated by	<-	1
300	AGO2	TERT	predicted	-	0.64
301	AGO2	TNF	predicted	-	0.64
302	AGO2	TNRC6A	complex; input; reaction	-	1
303	AGO2	TNRC6B	complex; input; reaction	-	1
304	AGO2	TNRC6C	complex; input; reaction	-	1
305	AGO2	TOP2A	predicted	-	0.64
306	AGO2	TPR	catalyzed by	<-	1
307	AGO2	TRIM71	predicted	-	0.99
308	AGO2	TSN	catalyzed by	<-	1
309	AGO2	TSNAX	catalyzed by	<-	1
310	AGO2	YBX1	predicted	-	0.64
311	AGO2	ZFP36	predicted	-	0.64
312	AGO4	HSPA5	predicted	-	0.64
313	AGRN	CDC42	activate	->	1
314	AGT	ATP6AP2	activated by; catalyzed by	<-	1
315	AGT	CANX	predicted	-	0.64
316	AGT	CEBPB	expression regulated by	<-	1
317	AGT	CTSG	catalyzed by	<-	1
318	AGT	GNAI2	complex; input	-	1
319	AGT	GNAQ	complex; input	-	1
320	AGT	HSPA5	predicted	-	0.64
321	AGTR1	AGTRAP	predicted	-	0.99
322	AGTR1	GNAQ	PPrel: activation; complex; input	->	1
323	AGTR1	GNAS	PPrel: activation	->	1
324	AGTR2	AGTRAP	predicted	-	0.99
325	AGTR2	GNAI2	complex; input	-	1
326	AGTR2	GNAQ	PPrel: activation	->	1
327	AGTR2	GNAS	complex	-	1
328	AGTRAP	TXN2	predicted	-	0.64
329	AGTRAP	USF1	expression regulated by	<-	1
330	AHCTF1	CDC42	complex; input; reaction	-	1
331	AHCTF1	CENPC	complex; input	-	1
332	AHSG	CEBPB	expression regulated by	<-	1
333	AIF1	PLS3	predicted	-	0.54
334	AIF1L	PLS3	predicted	-	0.54
335	AIFM1	SLC25A5	predicted	-	0.58
336	AIM2	RALB	predicted	-	0.54
337	AIMP1	HSP90B1	predicted	-	0.99
338	AIPL1	HSP90B1	predicted	-	0.54
339	AIRE	DDX17	predicted	-	0.64
340	AIRE	S100A9	predicted	-	0.64
341	AJUBA	ASH2L	catalyzed by; input	<-	1
342	AKAP13	CDC42	catalyze	->	1
343	AKT1	GNAI2	activated by	<-	1
344	AKT1	GPX1	predicted	-	0.65
345	AKT1	HSP90B1	PPrel: activated by	<-	1
346	AKT1	HSPA5	predicted	-	0.64
347	AKT1	HTT	catalyze	->	1
348	AKT1	PDK1	predicted	-	0.64
349	AKT1	PDK2	predicted	-	0.64
350	AKT1	PIK3C3	catalyzed by	<-	1
351	AKT1	PKN1	predicted	-	1
352	AKT1	RUNX2	catalyze	->	1
353	AKT1	TBK1	predicted	-	1
354	AKT1	TLR2	predicted	-	0.64
355	AKT2	C2CD5	catalyze	->	1
356	AKT2	HSP90B1	PPrel: activated by	<-	1
357	AKT2	HTT	catalyze	->	1
358	AKT2	PDK1	predicted	-	0.64
359	AKT2	PIK3C3	catalyzed by	<-	1
360	AKT3	HSP90B1	PPrel: activated by	<-	1
361	AKT3	HTT	catalyze	->	1
362	AKT3	PIK3C3	catalyzed by	<-	1
363	AKTIP	VPS41	predicted	-	0.64
364	ALDH1A2	CEBPB	expression regulated by	<-	1
365	ALDH3A2	STX5	catalyze; catalyzed by; input	<->	1
366	ALDH5A1	SOD2	predicted	-	0.64
367	ALDOC	TAGLN2	predicted	-	0.64
368	ALG1	ALG11	predicted	-	0.96
369	ALG1	ALG2	predicted	-	0.96
370	ALG2	ANXA11	predicted	-	0.64
371	ALG2	ANXA7	predicted	-	0.64
372	ALG2	PEF1	predicted	-	0.64
373	ALOX5	ALOX5AP	complex	-	1
374	ALOX5	APEX1	predicted	-	0.64
375	ALOX5	EGR1	expression regulated by	<-	1
376	ALOX5	FGR	predicted	-	0.58
377	ALOX5	HSD17B1	predicted	-	0.64
378	ALOX5	LTC4S	complex	-	1
379	ALOX5	MAPKAPK2	catalyzed by	<-	1
380	ALOX5	SP1	expression regulated by	<-	1
381	ALOX5AP	CEBPA	expression regulated by	<-	1
382	ALOX5AP	CEBPD	expression regulated by	<-	1
383	ALOX5AP	CEBPE	expression regulated by	<-	1
384	ALOX5AP	CORO1A	predicted	-	0.59
385	ALOX5AP	DOCK2	predicted	-	0.59
386	ALOX5AP	GMFG	predicted	-	0.65
387	ALOX5AP	ITGB2	predicted	-	0.59
388	ALOX5AP	LAPTM5	predicted	-	0.59
389	ALOX5AP	LCP2	predicted	-	0.59
390	ALOX5AP	LTC4S	complex	-	1
391	ALOX5AP	MEF2A	expression regulated by	<-	1
392	ALOX5AP	MEF2C	expression regulated by	<-	1
393	ALOX5AP	RAC2	predicted	-	0.59
394	ALOX5AP	SRGN	predicted	-	0.59
395	ALS2CL	RAB22A	predicted	-	0.98
396	ALX1	KAT5	predicted	-	0.64
397	ALYREF	CHTOP	complex; input	-	1
398	ALYREF	CLP1	catalyzed by; complex; input	<-	1
399	ALYREF	CPSF7	catalyzed by; complex; input	<-	1
400	ALYREF	GLE1	activated by	<-	1
401	ALYREF	HNRNPA3	complex; input	-	1
402	ALYREF	NDC1	activated by; catalyzed by; complex; input	<-	1
403	ALYREF	PRPF4	complex; input	-	1
404	ALYREF	SARNP	complex; input	-	1
405	ALYREF	SMNDC1	complex; input	-	1
406	ALYREF	SNRNP40	complex; input	-	1
407	ALYREF	SNW1	complex; input	-	1
408	ALYREF	SRSF4	complex; input	-	1
409	ALYREF	SRSF6	complex; input	-	1
410	ALYREF	SYF2	complex; input	-	1
411	AMBRA1	PIK3C3	complex; input	-	1
412	AMPH	ARPC2	complex; input	-	1
413	AMPH	IGF2R	complex; input	-	1
414	AMPH	SH3KBP1	complex; input; reaction	-	1
415	AMPH	VAMP8	complex; input	-	1
416	ANAPC1	CEBPB	reaction	-	1
417	ANAPC10	CEBPB	reaction	-	1
418	ANAPC11	CEBPB	reaction	-	1
419	ANAPC15	CEBPB	reaction	-	1
420	ANAPC16	CEBPB	reaction	-	1
421	ANAPC2	CEBPB	reaction	-	1
422	ANAPC4	CEBPB	reaction	-	1
423	ANAPC5	CEBPB	reaction	-	1
424	ANAPC7	CEBPB	reaction	-	1
425	ANG	CEBPB	expression regulated by	<-	1
426	ANGPT1	CRK	activate	->	1
427	ANGPT2	ANXA7	predicted	-	0.64
428	ANK1	ARCN1	complex; input	-	1
429	ANK1	COG4	complex; input	-	1
430	ANK1	RAB1B	complex; input	-	1
431	ANK1	STX5	complex; input	-	1
432	ANK2	ARCN1	complex; input	-	1
433	ANK2	COG4	complex; input	-	1
434	ANK2	RAB1B	complex; input	-	1
435	ANK2	STX5	complex; input	-	1
436	ANK3	ARCN1	complex; input	-	1
437	ANK3	COG4	complex; input	-	1
438	ANK3	RAB1B	complex; input	-	1
439	ANK3	STX5	complex; input	-	1
440	ANKRD17	MAVS	predicted	-	0.64
441	ANKRD28	PPP6C	complex	-	1
442	ANKRD28	PPP6R1	complex	-	1
443	ANKRD28	PPP6R3	complex	-	1
444	ANKRD28	SEC24A	catalyze	->	1
445	ANKRD28	SEC24B	catalyze	->	1
446	ANKRD28	SEC24C	catalyze	->	1
447	ANKRD28	SEC24D	catalyze	->	1
448	ANKRD9	CCDC22	complex; input	-	1
449	ANKRD9	DCUN1D1	complex; input	-	1
450	ANTXR1	HSPA5	predicted	-	0.64
451	ANXA1	ANXA6	complex; input	-	1
452	ANXA1	GNAI2	complex; input	-	1
453	ANXA1	GNAQ	complex; input	-	1
454	ANXA1	S100A11	predicted	-	0.64
455	ANXA11	ANXA7	predicted	-	0.92
456	ANXA11	PDCD6	predicted	-	0.64
457	ANXA2	ANXA6	complex; input	-	1
458	ANXA3	ATF2	predicted	-	0.64
459	ANXA3	EP300	expression regulated by	<-	1
460	ANXA3	GATA2	expression regulated by	<-	1
461	ANXA3	ISG15	predicted	-	0.64
462	ANXA6	CAV3	complex; input	-	1
463	ANXA6	DYSF	complex; input	-	1
464	ANXA6	TRIM72	complex; input	-	1
465	ANXA7	CTSB	predicted	-	0.64
466	ANXA7	DMPK	predicted	-	0.64
467	ANXA7	FGB	predicted	-	0.64
468	ANXA7	GCA	predicted	-	0.54
469	ANXA7	ITGB4	predicted	-	0.64
470	ANXA7	LGALS3	predicted	-	0.64
471	ANXA7	PDCD6	predicted	-	0.64
472	ANXA7	PRKAR1A	predicted	-	0.59
473	ANXA7	SETDB1	predicted	-	0.64
474	ANXA7	SRI	predicted	-	0.77
475	ANXA7	TP53	predicted	-	0.64
476	AOC3	CEBPB	expression regulated by	<-	1
477	AOX1	SP3	expression regulated by	<-	1
478	AP1S1	SORL1	predicted	-	0.54
479	AP1S3	SORL1	predicted	-	0.54
480	AP2A1	ARPC2	complex; input	-	1
481	AP2A1	HTT	complex; input	-	1
482	AP2A1	IGF2R	complex; input	-	1
483	AP2A1	SH3KBP1	complex; input	-	1
484	AP2A1	VAMP8	complex; input	-	1
485	AP2A2	ARPC2	complex; input	-	1
486	AP2A2	HTT	complex; input	-	1
487	AP2A2	IGF2R	complex; input	-	1
488	AP2A2	SH3KBP1	complex; input	-	1
489	AP2A2	VAMP8	complex; input	-	1
490	AP2B1	ARPC2	complex; input	-	1
491	AP2B1	IGF2R	complex; input	-	1
492	AP2B1	SH3KBP1	complex; input	-	1
493	AP2B1	VAMP8	complex; input	-	1
494	AP2M1	ARPC2	complex; input	-	1
495	AP2M1	IGF2R	complex; input	-	1
496	AP2M1	PSAP	predicted	-	0.65
497	AP2M1	SH3KBP1	complex; input	-	1
498	AP2M1	VAMP8	complex; input	-	1
499	AP2S1	ARPC2	complex; input	-	1
500	AP2S1	IGF2R	complex; input	-	1
501	AP2S1	SH3KBP1	complex; input	-	1
502	AP2S1	VAMP8	complex; input	-	1
503	AP3D1	STX5	predicted	-	0.97
504	AP3M1	AP3S2	predicted	-	0.98
505	AP3M1	BRD4	predicted	-	0.64
506	AP3M1	PSMA3	predicted	-	0.64
507	AP3M1	PSMA4	predicted	-	0.64
508	AP3M1	PSMA7	predicted	-	0.64
509	AP3M1	PSMB1	predicted	-	0.64
510	AP3M1	PSMB3	predicted	-	0.64
511	AP3M1	RAB32	predicted	-	0.64
512	AP3M1	RAB38	predicted	-	0.64
513	AP3M1	TRIM23	predicted	-	0.64
514	AP3M1	VTI1B	predicted	-	0.64
515	AP4S1	SORL1	predicted	-	0.54
516	AP5B1	AP5M1	predicted	-	0.64
517	AP5B1	AP5S1	predicted	-	0.64
518	AP5B1	AP5Z1	predicted	-	0.64
519	AP5S1	AP5Z1	predicted	-	0.64
520	AP5Z1	ZFYVE26	predicted	-	0.64
521	APBB1	KAT5	complex; input	-	1
522	APBB1IP	CRK	complex; input	-	1
523	APBB2	HTT	predicted	-	0.64
524	APBB2	KAT5	complex; input	-	1
525	APBB3	KAT5	complex; input	-	1
526	APC	ASH2L	input	-	1
527	APC	CDC42	activate	->	1
528	APC	CEBPB	predicted	-	0.54
529	APC	HSPA5	predicted	-	0.64
530	APC	USF2	expression regulated by	<-	1
531	APC2	CRK	predicted	-	0.96
532	APEX1	MPG	input	-	1
533	API5	HTT	predicted	-	0.64
534	APLN	GNAI2	complex; input	-	1
535	APLNR	GNAI2	PPrel: binding/association; complex; input	-	1
536	APLNR	GNAQ	PPrel: binding/association	-	1
537	APLNR	PIK3C3	GErel: expression, indirect effect	->	1
538	APMAP	LOXL3	predicted	-	0.77
539	APOA1	P4HB	activated by	<-	1
540	APOA1	SP3	expression regulated by	<-	1
541	APOA2	P4HB	activated by	<-	1
542	APOA2	USF2	expression regulated by	<-	1
543	APOA4	P4HB	activated by	<-	1
544	APOB	ARPC2	complex; input	-	1
545	APOB	ITGAM	complex; input	-	1
546	APOB	MIA3	predicted	-	0.64
547	APOB	P4HB	activated by; catalyzed by	<-	1
548	APOC3	USF2	expression regulated by	<-	1
549	APOE	HP	predicted	-	0.64
550	APOE	SORL1	predicted	-	0.98
551	APOE	USF2	expression regulated by	<-	1
552	APOL5	CRK	predicted	-	0.64
