""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"mIDH2_AVG"	"mIDH1_AVG"	"deltaBeta"	"CHR"	"MAPINFO"	"Strand"	"Type"	"gene"	"feature"	"cgi"	"feat.cgi"	"UCSC_Islands_Name"	"SNP_ID"	"SNP_DISTANCE"
"cg06818804"	0.00913280175056148	0.0196289366016353	5.85981801570404	2.01028683478897e-07	0.00420134632361251	6.56479256086788	0.0228696081905442	0.0137368064399827	-0.00913280175056148	"15"	78441680	"R"	"I"	"IDH3A"	"TSS200"	"island"	"TSS200-island"	"chr15:78441495-78442261"	"rs561944078"	"18"
"cg01590557"	-0.0534672777319307	0.827649131375135	-5.84386718591899	2.13754767747387e-07	0.00420134632361251	6.50457968341349	0.808676871534772	0.862144149266703	0.0534672777319312	"9"	109787501	"R"	"II"	"MIR548Q"	"Body"	"opensea"	"Body-opensea"	""	"rs148761826;rs16926076;rs560801719;rs528215628"	"31;26;11;1"
"cg00320059"	-0.039013197849247	0.819361491010647	-5.83802122667326	2.18615848404567e-07	0.00420134632361251	6.48252305045386	0.80551809822543	0.844531296074677	0.0390131978492471	"16"	706573	"R"	"II"	"WDR90"	"Body"	"opensea"	"Body-opensea"	""	"rs28485323;rs146097888;rs202129482;rs557777454;rs375919038"	"41;35;15;9;2"
"cg23160731"	0.265229806325604	0.672804666266401	5.82892340081941	2.26399403095863e-07	0.00420134632361251	6.44820937680612	0.76691846851097	0.501688662185366	-0.265229806325604	"5"	180669285	"F"	"II"	"SNORD96A"	"TSS1500"	"shore"	"TSS1500-shore"	"chr5:180670373-180670996"	""	""
"cg05286833"	-0.0203580434221936	0.938020183055502	-5.82527116075453	2.29600625558363e-07	0.00420134632361251	6.43443864418869	0.930796361196014	0.951154404618208	0.0203580434221936	"20"	20038172	"F"	"II"	"CRNKL1"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs546918269"	"1"
"cg11785623"	-0.0328962467565616	0.858996798635835	-5.82437419789708	2.30393648095626e-07	0.00420134632361251	6.4310570228178	0.847323936883507	0.880220183640069	0.0328962467565618	"12"	117038630	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs144147451;rs185442528"	"3;21"
"cg24098944"	-0.0306762470380354	0.932161540720484	-5.81277669358868	2.40894602589118e-07	0.00428301569855855	6.38734661221556	0.921276420803762	0.951952667841797	0.0306762470380354	"2"	162885448	"R"	"II"	"DPP4"	"Body"	"opensea"	"Body-opensea"	""	"rs137966291;rs192592250"	"46;37"
"cg11007670"	-0.0325733534422344	0.931072003835005	-5.7987369158097	2.54242207486016e-07	0.00441007913002298	6.33446414624999	0.919513717129696	0.95208707057193	0.0325733534422341	"4"	108300253	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs551518898;rs545679325"	"26;2"
"cg27522205"	0.266036322556164	0.502760755353331	5.76775958238845	2.86335239665605e-07	0.00466325351436851	6.21791294584695	0.597160740776486	0.331124418220322	-0.266036322556164	"12"	51784426	"R"	"II"	"GALNT6"	"5'UTR"	"shore"	"5'UTR-shore"	"chr12:51785279-51785821"	""	""
"cg12838928"	-0.0348250134627476	0.628446242306787	-5.76491956054733	2.8947073833684e-07	0.00466325351436851	6.20723640779299	0.616088979465167	0.650913992927915	0.0348250134627478	"16"	16112597	"F"	"II"	"ABCC1"	"Body"	"opensea"	"Body-opensea"	""	"rs558636844;rs576880283;rs371114316;rs71929708"	"21;24;25;31"
"cg20999489"	-0.0259699090371601	0.926874972338352	-5.76481244314597	2.89589662469202e-07	0.00466325351436851	6.20683374933792	0.917659843325166	0.943629752362326	0.0259699090371606	"2"	88956860	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs571374160;rs538758320;rs114722509"	"0;1;14"
"cg12746703"	-0.2495323083054	0.598561017282871	-5.75621741413693	2.99291226948265e-07	0.00466325351436851	6.17453174596036	0.510017294980955	0.759549603286355	0.2495323083054	"5"	41246654	"F"	"II"	"C6"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs189185336"	"1"
"cg11247767"	-0.0214221299271069	0.949669211440103	-5.75419279416031	3.01622871209251e-07	0.00466325351436851	6.16692480976601	0.942067810498226	0.963489940425333	0.021422129927107	"9"	21078539	"F"	"II"	"IFNB1"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs575066277;rs116304031;rs549278319"	"0;22;45"
"cg16625610"	-0.0732083581733615	0.701220103618525	-5.7359168152236	3.23499935132964e-07	0.00487971764399093	6.09829324552835	0.675242944266687	0.748451302440048	0.0732083581733611	"17"	17989832	"R"	"II"	"DRG2"	"TSS1500"	"shore"	"TSS1500-shore"	"chr17:17991080-17991581"	"rs563502532;rs532079086;rs552243751;rs147920158"	"41;20;6;2"
"cg06774703"	-0.0224077672469716	0.942226723455021	-5.73123934366007	3.29346719786785e-07	0.00487971764399093	6.08073825115269	0.934275580238354	0.956683347485325	0.0224077672469712	"17"	39647583	"F"	"II"	"KRT36"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	""	""
"cg09508448"	-0.0386190561940808	0.890923679473018	-5.72199766912844	3.4120754251593e-07	0.00495227930865697	6.04606575008774	0.877220143404151	0.915839199598232	0.0386190561940805	"19"	4679533	"R"	"II"	"DPP9"	"Body"	"shelf"	"Body-shelf"	"chr19:4682726-4683430"	"rs543643716;rs73539514"	"4;2"
"cg26882120"	0.245260875810771	0.668110821764476	5.71280046682264	3.53430337870838e-07	0.00497719468569159	6.01157650329858	0.755138874471524	0.509877998660753	-0.245260875810771	"5"	157701832	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs530757529"	"0"
"cg17740722"	-0.271772084654736	0.548543273356247	-5.71023148785217	3.56921095031913e-07	0.00497719468569159	6.00194584310445	0.452108017511018	0.723880102165754	0.271772084654736	"19"	57337294	"R"	"II"	"PEG3"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs192987657;rs567887769"	"21;20"
"cg18183618"	-0.0208809906097255	0.950132052622751	-5.69443307090803	3.79149827833254e-07	0.0051854936597614	5.94274867149307	0.94272266885801	0.963603659467735	0.0208809906097249	"3"	170894132	"F"	"II"	"TNIK"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg02089721"	-0.0224607143504184	0.955021147622281	-5.68935621512579	3.86579489994038e-07	0.00518734970927189	5.92373594859771	0.947051216723746	0.969511931074164	0.0224607143504184	"3"	16565578	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs553889726;rs17042365;rs539453768"	"28;21;1"
"cg15634698"	0.234444779045508	0.736257516816397	5.67509712992938	4.08225081975681e-07	0.00537636212823842	5.87036327302974	0.819447599703513	0.585002820658005	-0.234444779045507	"8"	43131656	"R"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr8:43132045-43132478"	""	""
"cg11139599"	-0.0300658849294556	0.888754011040151	-5.66796006103017	4.19504777175048e-07	0.00542446372645884	5.84366397890505	0.878085471226473	0.908151356155929	0.0300658849294558	"3"	40753421	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs191877850;rs547195166"	"0;1"
"cg27554556"	0.287434977311609	0.400223471624377	5.64761569939733	4.53375547319861e-07	0.00575742230075617	5.76761330839505	0.502216528089787	0.214781550778178	-0.287434977311609	"3"	148804650	"R"	"II"	"HLTF"	"TSS1500"	"shore"	"TSS1500-shore"	"chr3:148803904-148804557"	"rs564397528;rs576971168"	"38;25"
"cg18165251"	-0.0512902606159638	0.859050229207144	-5.64299032739886	4.61445434230336e-07	0.00575742230075617	5.75033457843852	0.840850459311156	0.892140719927121	0.0512902606159641	"10"	85961024	"R"	"II"	"PCDH21"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg19266683"	-0.0232875190195837	0.943162559613033	-5.63566137946916	4.74523723765182e-07	0.00581851990493002	5.72296519229563	0.934899246412536	0.958186765432119	0.0232875190195838	"1"	17985116	"R"	"II"	"ARHGEF10L"	"Body"	"opensea"	"Body-opensea"	""	"rs1109875;rs558677901"	"9;2"
"cg10508852"	0.0310109128202568	0.923120277710823	5.62450432339446	4.95139257840265e-07	0.00590008914036883	5.68132116903258	0.934124150001882	0.903113237181625	-0.0310109128202569	"14"	103404960	"R"	"II"	"CDC42BPB"	"Body"	"shore"	"Body-shore"	"chr14:103406206-103406683"	"rs186285582;rs28622314;rs116945556"	"47;37;2"
"cg03535239"	-0.0279396106740379	0.934892703282827	-5.62209684498546	4.99702415066005e-07	0.00590008914036883	5.67233855013876	0.924978647882363	0.9529182585564	0.0279396106740376	"14"	77241424	"R"	"II"	"VASH1"	"Body"	"shore"	"Body-shore"	"chr14:77242310-77242625"	"rs4903489;rs565241223"	"34;19"
"cg26021960"	0.245891522259503	0.270526725914182	5.61795206957603	5.07655972015227e-07	0.00590008914036883	5.65687665352571	0.357778556393361	0.111887034133858	-0.245891522259503	"3"	147140297	"R"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr3:147142181-147142391"	"rs192062120"	"23"
"cg04068341"	-0.0361011111423861	0.937563709034469	-5.61023689288431	5.22795291412374e-07	0.00590008914036883	5.62810502041825	0.924753637338784	0.96085474848117	0.0361011111423862	"10"	134821734	"R"	"II"	""	"IGR"	"island"	"IGR-island"	"chr10:134821733-134821937"	"rs568392264;rs527671618;rs547817004"	"41;19;2"
"cg25845304"	0.355580023653492	0.585259156617423	5.60671442769192	5.29854780666893e-07	0.00590008914036883	5.61497306978345	0.711432713397694	0.355852689744202	-0.355580023653493	"4"	7723884	"F"	"II"	"SORCS2"	"Body"	"opensea"	"Body-opensea"	""	"rs186369567;rs73078591;rs183518140;rs73204724;rs552687734"	"0;12;23;25;47"
"cg02976266"	0.0218314002552599	0.947811305782258	5.60302688072237	5.37345981314258e-07	0.00590008914036883	5.60122845836306	0.955557931679286	0.933726531424026	-0.02183140025526	"11"	18427090	"F"	"II"	"LDHA"	"Body"	"opensea"	"Body-opensea"	""	"rs187005834"	"5"
"cg05313261"	-0.0239400263667697	0.0616914834659256	-5.59919160375494	5.45248253762945e-07	0.00590008914036883	5.5869362290363	0.0531966354002976	0.0771366617670673	0.0239400263667697	"16"	30134350	"F"	"I"	"MAPK3"	"Body"	"island"	"Body-island"	"chr16:30134220-30134488"	""	""
"cg02932591"	-0.0196539925382474	0.943234828112583	-5.59808713364408	5.4754512997932e-07	0.00590008914036883	5.58282097260865	0.936260830760301	0.955914823298549	0.0196539925382475	"6"	25488753	"R"	"II"	"LRRC16A"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg02394126"	-0.0393279577761579	0.856085001090537	-5.58889140331927	5.67043390024957e-07	0.00601899631843133	5.54856762667133	0.842129919298997	0.881457877075155	0.0393279577761581	"11"	13379029	"R"	"II"	"ARNTL"	"Body"	"opensea"	"Body-opensea"	""	"rs547823382"	"35"
"cg00676042"	0.0156432070613747	0.0407821714824006	5.58200199304498	5.82099159409139e-07	0.00604140945887188	5.52291682084493	0.0463329868912755	0.0306897798299008	-0.0156432070613747	"3"	150481287	"R"	"I"	"SIAH2"	"TSS200"	"island"	"TSS200-island"	"chr3:150479734-150481888"	""	""
"cg06844930"	0.0442821369172705	0.174346431407895	5.57749313600956	5.92165564432709e-07	0.00604140945887188	5.50613478704683	0.190059447733378	0.145777310816108	-0.0442821369172705	"4"	125633631	"F"	"I"	"ANKRD50"	"5'UTR"	"island"	"5'UTR-island"	"chr4:125633390-125634275"	""	""
"cg01089319"	0.177504516891623	0.263400328015242	5.57505090727285	5.97689605403419e-07	0.00604140945887188	5.49704657814607	0.326385801750979	0.148881284859356	-0.177504516891623	"2"	171676809	"F"	"I"	"GAD1"	"Body"	"island"	"Body-island"	"chr2:171676552-171676980"	"rs566942793"	"23"
"cg18529678"	-0.0219261972251164	0.941247856724073	-5.56985301944361	6.09616552995781e-07	0.00604140945887188	5.47770802841809	0.93346759319258	0.955393790417697	0.0219261972251165	"19"	54633172	"R"	"II"	"PRPF31"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg15642455"	-0.0259007623659315	0.923026729681921	-5.56668003537944	6.17012377178734e-07	0.00604140945887188	5.46590589337625	0.913836136584332	0.939736898950264	0.0259007623659316	"15"	67372400	"F"	"II"	"SMAD3"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg22282963"	-0.0476013238364509	0.68914002839218	-5.56063454917347	6.31349624426233e-07	0.00604140945887188	5.44342525321739	0.672249236063117	0.719850559899567	0.0476013238364509	"2"	112426248	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs571966892"	"7"
"cg10144425"	-0.0186369295027752	0.958686669839009	-5.55895493077513	6.35390987733469e-07	0.00604140945887188	5.4371808456854	0.952073565821895	0.97071049532467	0.0186369295027752	"11"	111914127	"F"	"II"	"DLAT"	"Body"	"opensea"	"Body-opensea"	""	"rs372409186;rs587628981;rs587734015"	"0;13;15"
"cg18849160"	-0.0322535633679567	0.932203464611163	-5.55824216148723	6.37113703769611e-07	0.00604140945887188	5.43453112832425	0.920758651803178	0.953012215171135	0.0322535633679569	"10"	66810864	"R"	"II"	""	"IGR"	"shelf"	"IGR-shelf"	"chr10:66813635-66814061"	"rs141945275;rs568106185;rs183032998;rs187927936;rs570829394"	"50;41;15;14;1"
"cg06239350"	0.243070727744873	0.286131962477533	5.54737703223633	6.63951973426298e-07	0.00621306163448923	5.39415360791843	0.372382865870875	0.129312138126002	-0.243070727744873	"19"	1727839	"F"	"II"	""	"IGR"	"shore"	"IGR-shore"	"chr19:1725415-1726154"	""	""
"cg09577575"	0.297537288117002	0.698164521010846	5.52810386648727	7.14331735275374e-07	0.00654969115059771	5.32259275209485	0.803742268407201	0.5062049802902	-0.297537288117002	"16"	52584075	"R"	"II"	""	"IGR"	"shelf"	"IGR-shelf"	"chr16:52579636-52580845"	"rs536006826;rs546376164;rs566359767;rs538556412"	"47;9;2;1"
"cg05974921"	-0.0344441551228442	0.89169554856713	-5.52365771670696	7.264790868535e-07	0.00654969115059771	5.30609581606828	0.879473429007411	0.913917584130255	0.0344441551228442	"5"	4629593	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs566846161;rs112444268;rs534191091;rs113094061"	"0;1;17;20"
"cg06731886"	0.110476919596583	0.764394073091629	5.52326776291772	7.27554153837917e-07	0.00654969115059771	5.30464914372923	0.803595560690417	0.693118641093833	-0.110476919596583	"7"	73284078	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs567801998;rs531939745;rs550348726;rs571989892;rs539325247;rs527464900;rs150847476;rs190276447;rs536004243"	"1;7;10;15;21;34;39;42;45"
"cg26406571"	0.00832451624028696	0.0223221917720045	5.51024613297324	7.6436917136259e-07	0.00676825868359931	5.25636002370559	0.0252760523733967	0.0169515361331097	-0.00832451624028696	"11"	2422425	"F"	"I"	"TSSC4"	"TSS1500"	"island"	"TSS1500-island"	"chr11:2421040-2422474"	""	""
"cg00317680"	0.0255617924643006	0.0625576048612853	5.50801228753464	7.70866867793252e-07	0.00676825868359931	5.24807984987142	0.0716279183163597	0.0460661258520591	-0.0255617924643006	"8"	97274070	"R"	"I"	"MTERFD1"	"TSS1500"	"island"	"TSS1500-island"	"chr8:97273615-97274767"	"rs565050248;rs527522010;rs547512270"	"26;23;14"
"cg03116364"	-0.0383958479094608	0.904468827355856	-5.49421213710746	8.12233465169315e-07	0.00690749601830639	5.19695157731749	0.890844494226692	0.929240342136153	0.0383958479094607	"6"	47254004	"F"	"II"	"TNFRSF21"	"Body"	"opensea"	"Body-opensea"	""	"rs549601816;rs148190245"	"0;21"
"cg16245151"	0.311642265100122	0.707739555436278	5.49349108395782	8.14454044638939e-07	0.00690749601830639	5.19428131131337	0.818322294665354	0.506680029565232	-0.311642265100123	"20"	62066129	"F"	"II"	"KCNQ2"	"Body"	"opensea"	"Body-opensea"	""	"rs539466676"	"0"
"cg12545177"	-0.221402167970945	0.593659041679316	-5.49277061331399	8.16678811337717e-07	0.00690749601830639	5.19161331878873	0.515096982076722	0.736499150047668	0.221402167970945	"20"	16743207	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs558487581"	"2"
"cg17324149"	0.234687381810322	0.680701933229499	5.4899086101851	8.25575850947424e-07	0.00690749601830639	5.1810161138455	0.763978100968646	0.529290719158324	-0.234687381810322	"3"	127725522	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs13065849"	"10"
"cg15183092"	0.185497518614395	0.258839245179819	5.4773447679309	8.6577727653625e-07	0.0071596257257376	5.13451747790407	0.324660945333314	0.139163426718919	-0.185497518614395	"7"	150710447	"F"	"II"	"ATG9B"	"3'UTR"	"island"	"3'UTR-island"	"chr7:150710349-150711333"	""	""
"cg01685549"	-0.0152656189215388	0.977525119032451	-5.47417152780106	8.7623261049192e-07	0.0071627987252034	5.12277898904423	0.972108286511905	0.987373905433443	0.0152656189215387	"6"	33092097	"R"	"II"	"HLA-DPB2"	"Body"	"opensea"	"Body-opensea"	""	"rs3117021"	"50"
